#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Sep 15 16:52:55 EDT 2019,5,5,Assignment1Suite,SizeTest0+ , ,ClearTest0- ClearTest1- EverythingTest0- GetTest0- GetTest1- InsertTest0- InsertTest1- InsertTest2- InsertTest3- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest1- SizeTest2- SizeTest3- , ,
1,Sun Sep 15 16:54:31 EDT 2019,0,-5,Assignment1Suite, , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0- SizeTest1 SizeTest2 SizeTest3 , ,
2,Sun Sep 15 16:55:02 EDT 2019,5,5,Assignment1Suite,SizeTest0+ , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 SizeTest3 , ,
3,Sun Sep 15 16:56:34 EDT 2019,70,65,Assignment1Suite,ClearTest0+ ClearTest1+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest3+ , ,EverythingTest0 GetTest0 GetTest1 SizeTest1 SizeTest2 , ,
4,Sun Sep 15 19:22:12 EDT 2019,29,-41,Assignment1Suite,InsertTest0 InsertTest1 InsertTest2 InsertTest3 SizeTest0 , ,ClearTest0- ClearTest1- EverythingTest0 GetTest0 GetTest1 RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest1 SizeTest2 SizeTest3- , ,
5,Sun Sep 15 19:23:23 EDT 2019,0,-29,Assignment1Suite, , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0- InsertTest1- InsertTest2- InsertTest3- RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0- SizeTest1 SizeTest2 SizeTest3 , ,
6,Mon Sep 16 15:10:43 EDT 2019,0,0,Assignment1Suite, , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,
7,Mon Sep 16 16:30:21 EDT 2019,11,11,Assignment1Suite,InsertTest3+ SizeTest0+ , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 SizeTest3 , ,
8,Mon Sep 16 16:47:06 EDT 2019,11,0,Assignment1Suite,InsertTest3 SizeTest0 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 SizeTest3 , ,
9,Mon Sep 16 16:51:15 EDT 2019,64,53,Assignment1Suite,ClearTest0+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest3+ , ,ClearTest1 EverythingTest0 GetTest0 GetTest1 SizeTest1 SizeTest2 , ,
10,Mon Sep 16 16:53:07 EDT 2019,35,-29,Assignment1Suite,InsertTest1 InsertTest2 InsertTest3 SizeTest0 SizeTest1+ SizeTest2+ , ,ClearTest0- ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest3- , ,
11,Mon Sep 16 16:53:24 EDT 2019,35,0,Assignment1Suite,InsertTest1 InsertTest2 InsertTest3 SizeTest0 SizeTest1 SizeTest2 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest3 , ,
12,Mon Sep 16 16:55:20 EDT 2019,35,0,Assignment1Suite,InsertTest1 InsertTest2 InsertTest3 SizeTest0 SizeTest1 SizeTest2 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest3 , ,
13,Mon Sep 16 16:55:33 EDT 2019,64,29,Assignment1Suite,ClearTest0+ InsertTest0+ InsertTest1 InsertTest2 InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest3+ , ,ClearTest1 EverythingTest0 GetTest0 GetTest1 SizeTest1- SizeTest2- , ,
14,Mon Sep 16 17:03:18 EDT 2019,35,-29,Assignment1Suite,InsertTest1 InsertTest2 InsertTest3 SizeTest0 SizeTest1+ SizeTest2+ , ,ClearTest0- ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest3- , ,
15,Mon Sep 16 17:05:53 EDT 2019,35,0,Assignment1Suite,InsertTest1 InsertTest2 InsertTest3 SizeTest0 SizeTest1 SizeTest2 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest3 , ,
16,Mon Sep 16 17:07:15 EDT 2019,64,29,Assignment1Suite,ClearTest0+ InsertTest0+ InsertTest1 InsertTest2 InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest3+ , ,ClearTest1 EverythingTest0 GetTest0 GetTest1 SizeTest1- SizeTest2- , ,
17,Mon Sep 16 17:07:54 EDT 2019,35,-29,Assignment1Suite,InsertTest1 InsertTest2 InsertTest3 SizeTest0 SizeTest1+ SizeTest2+ , ,ClearTest0- ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest3- , ,
18,Mon Sep 16 17:20:11 EDT 2019,64,29,Assignment1Suite,GetTest0+ InsertTest0+ InsertTest1 InsertTest2 InsertTest3 RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest1 SizeTest2 , ,ClearTest0 ClearTest1 EverythingTest0 GetTest1 RemoveTest0 SizeTest3 , ,
19,Mon Sep 16 17:22:54 EDT 2019,52,-12,Assignment1Suite,ClearTest0+ EverythingTest0+ InsertTest1 InsertTest2 InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3+ , ,ClearTest1 GetTest0- GetTest1 InsertTest0- RemoveTest0 RemoveTest1- RemoveTest2- RemoveTest3- , ,
20,Mon Sep 16 17:23:17 EDT 2019,82,30,Assignment1Suite,ClearTest0 EverythingTest0 GetTest0+ InsertTest0+ InsertTest1 InsertTest2 InsertTest3 RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest1 GetTest1 RemoveTest0 , ,
21,Mon Sep 16 17:24:13 EDT 2019,82,0,Assignment1Suite,ClearTest0 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest1 GetTest1 RemoveTest0 , ,
22,Mon Sep 16 17:25:56 EDT 2019,82,0,Assignment1Suite,ClearTest0 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest1 GetTest1 RemoveTest0 , ,
23,Mon Sep 16 17:26:45 EDT 2019,82,0,Assignment1Suite,ClearTest0 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest1 GetTest1 RemoveTest0 , ,
24,Mon Sep 16 17:27:22 EDT 2019,82,0,Assignment1Suite,ClearTest0 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest1 GetTest1 RemoveTest0 , ,
25,Mon Sep 16 17:29:40 EDT 2019,82,0,Assignment1Suite,ClearTest0 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest1 GetTest1 RemoveTest0 , ,
26,Mon Sep 16 17:43:11 EDT 2019,88,6,Assignment1Suite,ClearTest0 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0+ RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest1 GetTest1 , ,
27,Mon Sep 16 17:48:05 EDT 2019,94,6,Assignment1Suite,ClearTest0 ClearTest1+ EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest1 , ,
28,Mon Sep 16 17:50:10 EDT 2019,100,6,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
